File ID	Sample Type	Tpm_val
3e6105ba-3a23-4ac6-bf0d-1193fb2e679e	Primary Tumor	32.7739
b53ceb0c-a338-46e2-a0e6-224dec5ea807	Primary Tumor	239.495
9123a775-d686-49ab-90e7-0dc572c2fcaf	Primary Tumor	242.1094
58390e08-43b2-4517-b57c-ff899594e55a	Primary Tumor	126.1037
aaa72a07-5214-4145-9fb5-99c22b7c248a	Primary Tumor	93.4967
306febc7-f9b2-493a-9520-b9700d0f3e47	Primary Tumor	381.5178
3c0ce8a7-a730-4f1a-9e03-335b3e36849b	Primary Tumor	114.2951
caa4bc15-6e54-4d5e-9d91-c25e800b71b9	Primary Tumor	198.0397
a0fce6cc-a525-4970-82b7-8512bb0708b3	Primary Tumor	114.0911
254bed99-398d-4c34-a804-67516d257e70	Primary Tumor	0.0868
4089d037-ab25-47a6-be68-19742473cbc6	Primary Tumor	57.4523
4981d1f3-2824-4cd0-81b8-e12a9727a248	Primary Tumor	26.6297
2bf191f1-b880-427e-996c-0e75df13d738	Primary Tumor	48.1901
30e51b69-6778-4125-bb18-86694d42a6e9	Primary Tumor	153.6626
6d0c282d-43d7-44fb-94e6-25771385e326	Primary Tumor	113.5766
892294a6-6b94-4284-bae3-9eb0bdc853f6	Primary Tumor	5.3702
12c95903-cae1-4f9f-97c7-05ab05f4fd7f	Primary Tumor	260.7768
a912206f-60e9-4564-9d84-db9c3ee75343	Primary Tumor	98.2337
3976128b-36ba-4bf0-8121-867e89aba2c9	Primary Tumor	339.7229
7cf36ebf-b16e-49ac-bcc4-b127b1f2a3da	Primary Tumor	178.8227
b6c69243-9731-4578-b037-ac997cbdc7dc	Primary Tumor	194.5374
08971a88-cb64-4030-93e5-08d77d2ed654	Primary Tumor	33.3312
edfdd711-4764-43a7-9948-4320dc17b2b1	Primary Tumor	277.9329
577f10d0-c9a2-47c3-aa2f-b1bd5bd86d90	Primary Tumor	225.0398
20daa4af-7d88-42c8-9279-34372e687e5d	Primary Tumor	147.4058
89785c02-2345-4fa3-b73b-4d9da706c972	Primary Tumor	56.2942
52363b7b-f157-4fbe-8388-169b6152c9fe	Primary Tumor	194.6295
7666bfbe-6803-4b5d-b3b4-e9069fc4bea5	Primary Tumor	304.5404
40dba5d9-ce2e-483b-b4a7-19fbca8158e5	Primary Tumor	109.3347
f0890456-1013-4e8a-9132-f05e2a1be5f2	Primary Tumor	115.4209
bd820f5e-c8fd-4af5-b81c-2c51715cd759	Primary Tumor	255.3765
0f37f5ba-3582-4c61-8c70-bf9b0ede6e71	Primary Tumor	134.6297
cb93a89c-f291-4042-a988-0fb1b392e4d7	Primary Tumor	110.0155
86757083-5e47-423f-91e3-5f2ad6779b27	Primary Tumor	231.2185
9726aa3d-8a66-4568-92e5-c092c05a9a5d	Primary Tumor	121.7271
e39f6bf6-2206-45f2-a1c0-81fc1d858fd2	Solid Tissue Normal	96.1019
f8d97584-0c4f-4bb1-b4a7-77d87aabc852	Primary Tumor	3.2858
93db566e-8ff9-45b0-afa2-0fbe82b8f580	Primary Tumor	84.5531
6525f4e0-ba79-4576-89b3-df0ab6e45309	Primary Tumor	106.3884
951f2356-17f4-4f4f-a8ec-855c7e93dce1	Primary Tumor	153.685
7a59e84b-2d4a-4148-966d-7eadeb61ef38	Primary Tumor	150.3877
db61f20e-e44a-4992-a9f6-b54fc2dedfb6	Primary Tumor	66.3025
e37ffff5-f795-4ca9-b46b-f59344db48af	Primary Tumor	225.9538
ba8aebd8-07de-46c0-a28f-b2408c36f07f	Primary Tumor	85.812
72db648d-0ff7-418b-b7bd-590eda282f74	Primary Tumor	71.4531
5d65e761-0cb3-4e52-b14f-79be5850dba4	Solid Tissue Normal	115.9145
6508912f-5f91-43e6-8e63-9233bf3e81eb	Primary Tumor	324.5131
db9bab18-a465-445f-a4fd-dc90faa1da6d	Primary Tumor	202.0865
3604ee2d-3fdc-40fa-95ab-a3f420334ac5	Primary Tumor	195.6782
